domain,tld,category,severity,ip,ip_country,registered,notes
04036.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04074.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04085.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04095.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04104.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04111.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04112.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04206.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04227.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04333.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04371.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04374.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04389.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04477.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04487.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04552.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0455658.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04587.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04606.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04619.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04679.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04718.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04807.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04875.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04922.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04943.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04952.cfd,cfd,,HIGH,,,,Confirmed by hagezi
049669.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04997.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05056.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05103.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05209.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05213.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05318.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05319.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05417.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05424.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05463.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05479.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05520.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05533.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05538.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05539.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05554.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05573.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05599.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05603.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05617.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0561a4c6.rmfzkg.cyou,cyou,,HIGH,,,,Confirmed by mitchellkrogza
